D,0,D,35,130,391671,N
D,0,D,14,157,564404,N
D,0,D,27,0,902453,Y
D,0,A,5,0,172043,Y
D,0,D,16,112,534357,N
D,0,D,59,129,555194,N
D,0,A,6,0,377637,Y
D,0,D,35,0,611304,Y
D,0,D,15,128,573031,N
D,0,D,56,135,839381,N
D,0,D,12,141,259158,N
D,0,A,8,280,689591,N
D,0,D,12,0,8129,Y
D,0,D,21,0,378109,Y
D,0,A,4,219,186851,N
D,0,D,45,273,396170,N
D,0,D,34,0,962671,Y
D,0,D,32,0,254549,Y
D,0,D,50,148,277726,N
D,0,D,47,261,938979,N
D,0,D,59,219,868373,N
D,0,A,5,0,447214,Y
D,0,A,7,0,763959,Y
D,0,D,17,0,674342,Y
D,0,A,2,276,602435,N
D,0,A,6,154,409901,N
D,0,D,14,0,933187,Y
D,0,D,33,0,825273,Y
D,0,D,41,0,92477,Y
D,0,D,6,297,230743,N
D,0,A,2,104,935020,N
D,0,D,24,0,246988,Y
D,0,A,6,0,945966,Y
D,0,D,23,106,671842,N
D,0,A,3,282,516079,N
D,0,D,16,0,250871,Y
D,0,A,5,0,495555,Y
D,0,D,13,0,709762,Y
D,0,A,3,241,53710,N
D,0,D,27,232,886314,N
D,0,A,4,185,568519,N
D,0,A,5,259,794232,N
D,0,D,15,0,561532,Y
D,0,A,4,0,179475,Y
D,0,D,47,146,790077,N
D,0,D,7,270,254445,N
D,0,D,39,0,276876,Y
D,0,A,3,0,59784,Y
D,0,D,29,127,502484,N
D,0,D,28,0,459583,Y
D,0,A,6,180,810202,N
D,0,D,12,223,26830,N
D,0,D,59,0,923684,Y
D,0,D,14,205,150388,N
D,0,A,6,0,641810,Y
D,0,D,28,155,799239,N
D,0,A,2,0,66720,Y
D,0,D,28,298,388542,N
D,0,A,3,0,280952,Y
D,0,A,7,109,764111,N
D,0,A,6,0,968997,Y
D,0,A,3,0,814173,Y
D,0,A,8,214,111714,N
D,0,A,6,0,540690,Y
D,0,D,15,0,190785,Y
D,0,D,26,0,461444,Y
D,0,A,6,124,692586,N
D,0,A,5,213,433475,N
D,0,D,33,193,530664,N
D,0,D,5,0,107748,Y
D,0,A,8,185,774396,N
D,0,D,16,0,391361,Y
D,0,D,24,174,337044,N
D,0,D,16,133,285874,N
D,0,A,7,216,229101,N
D,0,D,24,0,733084,Y
D,0,A,4,161,532769,N
D,0,D,13,0,118754,Y
D,0,D,13,231,16757,N
D,0,D,30,0,959044,Y
D,0,D,26,0,295567,Y
D,0,A,7,0,760643,Y
D,0,A,2,108,353442,N
D,0,A,3,212,669647,N
D,0,A,4,278,352074,N
D,0,A,3,287,419235,N
D,0,D,57,0,519830,Y
D,0,A,2,225,551386,N
D,0,A,5,0,840931,Y
D,0,A,6,0,135277,Y
D,0,D,36,271,217763,N
D,0,A,8,158,59991,N
D,0,D,23,0,724409,Y
D,0,D,27,0,597138,Y
D,0,A,3,0,612647,Y
D,0,A,2,0,409991,Y
D,0,A,8,0,695114,Y
D,0,D,42,0,541895,Y
D,0,A,5,112,637849,N
